Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
2.0;110195606492;2004;Parda;6.0;13;Masculino;Urbana;0;0;1;9.0;10.0;81.0
2.0;116703202353;2004;Branco;6.0;13;Masculino;Urbana;0;0;1;9.0;9.0;81.0
5.0;116776975808;2001;Parda;6.0;16;Feminino;Urbana;1;0;0;6.0;51.0;43.0
5.0;111540468770;2000;Parda;7.0;17;Feminino;Urbana;0;1;0;4.0;46.0;50.0
3.0;119186460748;2002;Parda;7.0;15;Masculino;Urbana;1;0;0;6.0;19.0;76.0
4.0;117188808715;2002;Preta;6.0;15;Masculino;Urbana;0;0;1;7.0;38.0;55.0
3.0;116771044148;2002;Parda;7.0;15;Masculino;Urbana;0;0;1;6.0;19.0;76.0
3.0;112660099307;2002;Preta;7.0;15;Feminino;Urbana;0;1;0;6.0;17.0;77.0
2.0;121952884003;2004;Parda;6.0;13;Feminino;Urbana;0;0;1;9.0;9.0;82.0
5.0;113441581295;2000;Preta;7.0;17;Masculino;Urbana;1;0;0;4.0;48.0;48.0
4.0;110338809065;2002;Preta;6.0;15;Masculino;Urbana;0;0;1;7.0;38.0;55.0
2.0;119797657581;2004;Parda;6.0;13;Feminino;Urbana;1;0;0;9.0;9.0;82.0
3.0;119495310902;2003;Parda;6.0;14;Masculino;Urbana;0;0;1;8.0;21.0;70.0
4.0;119827170251;2002;Preta;6.0;15;Masculino;Urbana;1;0;0;7.0;38.0;55.0
6.0;117836089001;2000;Branco;6.0;17;Masculino;Urbana;1;0;0;5.0;64.0;31.0
3.0;114429723353;2002;Parda;7.0;15;Masculino;Urbana;0;0;1;6.0;19.0;76.0
4.0;110196143585;2002;Branco;6.0;15;Masculino;Urbana;0;0;1;7.0;35.0;57.0
3.0;120321553461;2003;Preta;6.0;14;Feminino;Urbana;0;0;1;8.0;20.0;72.0
5.0;111528293788;2001;Parda;6.0;16;Masculino;Urbana;0;1;0;6.0;53.0;41.0
3.0;117268123166;2003;Parda;6.0;14;Masculino;Urbana;0;0;1;8.0;21.0;70.0
1.0;123665550326;2006;Preta;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;122880923270;2006;Parda;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;122733469648;2006;Parda;5.0;11;Masculino;Urbana;0;0;1;15.0;5.0;80.0
1.0;149882873358;2006;Branco;5.0;11;Feminino;Urbana;1;0;0;15.0;4.0;82.0
0.0;123776450702;2007;Branco;5.0;10;Feminino;Urbana;0;0;1;15.0;1.0;83.0
0.0;122943676429;2007;Parda;5.0;10;Feminino;Urbana;0;0;1;15.0;2.0;83.0
0.0;124140793553;2007;Parda;5.0;10;Feminino;Urbana;0;0;1;15.0;2.0;83.0
1.0;121457932244;2006;Parda;5.0;11;Masculino;Urbana;0;0;1;15.0;5.0;80.0
1.0;123866863453;2006;Parda;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;119275827841;2006;Parda;5.0;11;Masculino;Urbana;0;0;1;15.0;5.0;80.0
3.0;122411987810;2004;Parda;5.0;13;Masculino;Urbana;0;0;1;13.0;25.0;63.0
2.0;123324922401;2005;Branco;5.0;12;Masculino;Urbana;0;0;1;14.0;10.0;75.0
1.0;121669004880;2006;Branco;5.0;11;Feminino;Urbana;0;0;1;15.0;4.0;82.0
1.0;123178478409;2006;Branco;5.0;11;Feminino;Urbana;0;0;1;15.0;4.0;82.0
0.0;124315321272;2007;Parda;5.0;10;Masculino;Urbana;1;0;0;15.0;2.0;83.0
3.0;123917365412;2004;Preta;5.0;13;Feminino;Urbana;0;0;1;12.0;22.0;65.0
1.0;123806886996;2006;Branco;5.0;11;Feminino;Urbana;0;0;1;15.0;4.0;82.0
4.0;123619110351;2003;Branco;5.0;14;Feminino;Urbana;0;0;1;11.0;37.0;52.0
1.0;123118508220;2006;Parda;5.0;11;Masculino;Urbana;0;0;1;15.0;5.0;80.0
1.0;122399684868;2006;Parda;5.0;11;Masculino;Urbana;0;0;1;15.0;5.0;80.0
1.0;122463254393;2006;Parda;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;122881118282;2006;Parda;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;123137477190;2006;Branco;5.0;11;Masculino;Urbana;0;0;1;15.0;4.0;81.0
2.0;120833605835;2005;Parda;5.0;12;Feminino;Urbana;0;0;1;14.0;10.0;76.0
1.0;122880919087;2006;Parda;5.0;11;Feminino;Urbana;0;0;1;14.0;4.0;81.0
1.0;120918718936;2006;Branco;5.0;11;Feminino;Urbana;0;0;1;15.0;4.0;82.0
1.0;121698882920;2006;Branco;5.0;11;Feminino;Urbana;0;0;1;15.0;4.0;82.0
4.0;121381970264;2003;Parda;5.0;14;Feminino;Urbana;0;0;1;11.0;40.0;50.0
3.0;127532129534;2006;Branco;3.0;11;Masculino;Urbana;1;0;0;28.0;28.0;44.0
4.0;122949464997;2005;Branco;3.0;12;Masculino;Urbana;0;1;0;23.0;47.0;30.0
3.0;122076983197;2006;Branco;3.0;11;Masculino;Urbana;0;0;1;28.0;28.0;44.0
4.0;121173091350;2005;Preta;3.0;12;Feminino;Urbana;0;1;0;23.0;47.0;30.0
3.0;120581444816;2006;Branco;3.0;11;Masculino;Urbana;0;0;1;28.0;28.0;44.0
3.0;120822693967;2006;Parda;3.0;11;Masculino;Urbana;0;1;0;27.0;31.0;42.0
3.0;122884262686;2006;Parda;3.0;11;Masculino;Urbana;0;1;0;27.0;31.0;42.0
5.0;114094557856;2004;Parda;3.0;13;Masculino;Urbana;1;0;0;19.0;63.0;18.0
4.0;122503162443;2005;Parda;3.0;12;Masculino;Urbana;0;0;1;23.0;49.0;28.0
4.0;122020341963;2005;Parda;3.0;12;Feminino;Urbana;0;1;0;23.0;47.0;30.0
2.0;110849023202;2001;Branco;9.0;16;Feminino;Urbana;0;0;1;3.0;5.0;91.0
0.0;121443079200;2003;Parda;9.0;14;Feminino;Urbana;0;0;1;3.0;1.0;95.0
2.0;112611329124;2001;Preta;9.0;16;Feminino;Urbana;0;0;1;3.0;6.0;91.0
2.0;110492450837;2001;Parda;9.0;16;Masculino;Urbana;1;0;0;3.0;7.0;90.0
1.0;117859595574;2002;Parda;9.0;15;Feminino;Urbana;0;0;1;3.0;3.0;94.0
1.0;117847096462;2002;Branco;9.0;15;Feminino;Urbana;0;0;1;3.0;2.0;94.0
2.0;110108961566;2001;Parda;9.0;16;Feminino;Urbana;0;0;1;3.0;6.0;91.0
2.0;111772898812;2001;Branco;9.0;16;Masculino;Urbana;0;0;1;3.0;6.0;91.0
1.0;120958882940;2002;Branco;9.0;15;Masculino;Urbana;0;0;1;3.0;3.0;94.0
2.0;114491743885;2001;Preta;9.0;16;Masculino;Urbana;1;0;0;3.0;7.0;90.0
1.0;111377351393;2002;Preta;9.0;15;Feminino;Urbana;0;0;1;3.0;3.0;94.0
2.0;120325590647;2001;Parda;9.0;16;Feminino;Urbana;0;0;1;3.0;6.0;91.0
1.0;118280474900;2002;Branco;9.0;15;Masculino;Urbana;0;0;1;3.0;3.0;94.0
1.0;111603739903;2002;Branco;9.0;15;Feminino;Urbana;0;0;1;3.0;2.0;94.0
1.0;113641824833;2002;Branco;9.0;15;Feminino;Urbana;0;0;1;3.0;2.0;94.0
